"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"17-000223","02/21/17 1028",NA,"02/21/17 1028","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000224","02/21/17 1102",NA,"02/21/17 1102","Morrill Hall","Open","theft",-93.648036,42.0272456
"17-000226","02/21/17 1512",NA,"02/21/17 1512","Armory Building","Open","harassment",-93.6509474,42.029626
"17-000228","02/22/17 0136","02/22/17 0136","02/22/17 0136","Hayward Avenue and Lincoln Way","Arrest","public intoxication",-93.6517059,42.0228461
"17-000229","02/22/17 0242","02/22/17 0242","02/22/17 0242","Lincoln Way and University Boulevard","Arrest","operating while intoxicated",-93.6332661,42.0228746
"17-000229","02/22/17 0242","02/22/17 0242","02/22/17 0242","Lincoln Way and University Boulevard","Arrest","drug violation",-93.6332661,42.0228746
"17-000231","02/23/17 0004","02/23/17 0004","02/23/17 0004","Welch Crown Center","Arrest","public intoxication",NA,NA
"17-000234","02/23/17 0117","02/23/17 0117","02/23/17 0117","35 Frederiksen Court","Arrest","domestic dispute",-93.6421508,42.0347532
"17-000236","02/24/17 0043","02/24/17 0043","02/24/17 0043","Hunt Street and Welch Avenue","Arrest","public intoxication",-93.6501239,42.0202787
"17-000238","02/24/17 0221","02/24/17 0221","02/24/17 0221","Mortensen Road and State Avenue","Arrest","drug violation",-93.6589323,42.0118849
"17-000238","02/24/17 0221","02/24/17 0221","02/24/17 0221","Mortensen Road and State Avenue","Arrest","driving violation",-93.6589323,42.0118849
"17-000239","02/24/17 0745",NA,"02/24/17 0745","Lot 59D","Open","theft",-93.6510118,42.0235902
"17-000240","02/24/17 1440",NA,"02/24/17 1440","2229 Lincoln Way","Open","theft",-93.6456354,42.0235144
"17-000247","02/25/17 0115","02/25/17 0115","02/25/17 0115","60 Schilletter Village","Arrest","drug violation",-93.6434037,42.0440331
"17-000248","02/25/17 0213","02/25/17 0213","02/25/17 0213","203 Beedle Drive","Arrest","operating while intoxicated",-93.6732982,42.0210143
"17-000249","02/25/17 0241","02/25/17 0241","02/25/17 0241","203 Welch Avenue","Arrest","operating while intoxicated",-93.6505613,42.0212663
"17-000250","02/25/17 1005",NA,"02/25/17 1005","100 block of Sheldon Avenue","Open","theft",-93.65443,42.0217676
"17-000252","02/25/17 2240","02/25/17 2240","02/25/17 2240","Lincoln Way and Lynn Avenue","Arrest","alcohol violation",-93.6464086,42.0227244
"17-000253","02/25/17 2317","02/25/17 2317","02/25/17 2317","119 Stanton Avenue","Arrest","public intoxication",-93.6489377,42.0219747
"17-000254","02/26/17 0041","02/26/17 0041","02/26/17 0041","Beyer Court and Union Drive","Arrest","public intoxication",-93.6507255,42.0251486
"17-000257","02/26/17 2141",NA,"02/26/17 2141","81 Frederiksen Court","Closed","theft",-93.6398497,42.0329143
"17-000261","02/27/17 0745",NA,"02/27/17 0745","Animal Science Teaching Center","Open","theft",NA,NA
"17-000263","02/27/17 0938",NA,NA,"Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000264","02/27/17 1430",NA,"02/27/17 1430","Hamilton Hall","Open","harassment",-93.6420985,42.0275353
"17-000267","02/28/17 1202","02/28/17 1202","02/28/17 1202","Scheman Building","Arrest","public intoxication",-93.6367398,42.021491
"17-000270","03/01/17 1650",NA,"03/01/17 1650","Memorial Union","Open","harassment",-93.6459454,42.0236502
"17-000271","03/01/17 1704",NA,"03/01/17 1704","200 University Village","Open","vandalism",-93.6441672,42.0427435
"17-000272","03/01/17 2051","03/01/17 2051","03/01/17 2051","Wilson Hall","Arrest","drug violation",-93.651021,42.0139143
"17-000273","03/01/17 2254","03/01/17 2254","03/01/17 2254","Wallace Hall","Arrest","drug violation",-93.6499279,42.0142261
"17-000274","03/02/17 0054","03/02/17 0054","03/02/17 0054","Bissell Road and Pammel Drive","Arrest","public intoxication",-93.6518944,42.030401
"17-000275","03/02/17 0245","03/02/17 0245","03/02/17 0245","Lincoln Way and Welch Avenue","Arrest","public intoxication",-93.6501393,42.0227328
"17-000276","03/02/17 1025","03/02/17 1025","03/02/17 1025","Armory Building","Open","theft",-93.6509474,42.029626
"17-000277","03/03/17 0033","03/03/17 0033","03/03/17 0033","Lot 91","Arrest","alcohol violation",NA,NA
"17-000278","03/03/17 0123","03/03/17 0123","03/03/17 0123","2519 Hunt Street","Arrest","public intoxication",-93.6512741,42.020471
"17-000279","03/03/17 0308","03/03/17 0308","03/03/17 0308","1105 Pinon Drive","Arrest","operating while intoxicated",-93.6750654,42.0126964
"17-000280","03/03/17 0414","03/03/17 0414","03/08/17 2158","Helser Hall","Arrest","disorderly conduct",-93.6518379,42.02424
"17-000282","03/03/17 1520",NA,"03/03/17 1520","Union Drive Community Center","Open","theft",-93.6515007,42.0249565
"17-000284","03/03/17 1956","03/03/17 1956","03/03/17 1956","4625 Steinbeck Street","Open","trespass",-93.6819357,42.0152806
"17-000285","03/03/17 2240","03/03/17 2240","03/03/17 2240","Linden Hall","Arrest","public intoxication",-93.6403252,42.0231404
"17-000285","03/03/17 2240","03/03/17 2240","03/03/17 2240","Linden Hall","Arrest","alcohol violation",-93.6403252,42.0231404
"17-000285","03/03/17 2240","03/03/17 2240","03/03/17 2240","Linden Hall","Arrest","unlawful use of license",-93.6403252,42.0231404
"17-000286","03/03/17 2313","03/03/17 2313","03/03/17 2313","Helser Hall","Arrest","drug violation",-93.6518379,42.02424
"17-000286","03/03/17 2313","03/03/17 2313","03/03/17 2313","Helser Hall","Arrest","alcohol violation",-93.6518379,42.02424
"17-000287","03/04/17 0200","03/04/17 0200","03/04/17 0200","Beyer Court and Union Drive","Arrest","operating while intoxicated",-93.6507255,42.0251486
"17-000287","03/04/17 0200","03/04/17 0200","03/04/17 0200","Beyer Court and Union Drive","Arrest","drug violation",-93.6507255,42.0251486
"17-000288","03/04/17 1751","03/04/17 1751","03/04/17 1751","Buchanan Hall","Arrest","drug violation",-93.642449,42.022653
"17-000288","03/04/17 1751","03/04/17 1751","03/04/17 1751","Buchanan Hall","Arrest","alcohol violation",-93.642449,42.022653
"17-000289","03/05/17 0036","03/05/17 0036","03/05/17 0036","2122 Lincoln Way","Arrest","driving violation",-93.6412957,42.02241
"17-000291","03/05/17 0401","03/05/17 0401","03/05/17 0401","4518 Steinbeck Street","Arrest","operating while intoxicated",-93.6794777,42.0143173
"17-000293","03/05/17 2033",NA,"03/05/17 2033","Marston Hall","Open","theft",-93.6498445,42.0267965
"17-000294","03/06/17 0113","03/06/17 0113","03/06/17 0113","Lot 59F","Arrest","operating while intoxicated",-93.6521476,42.0238811
"17-000295","03/06/17 0933",NA,"03/06/17 0933","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000298","03/06/17 2209","03/06/17 2209","03/06/17 2209","Lot 115","Open","robbery",-93.6428661,42.0342308
"17-000299","03/06/17 2343",NA,"03/06/17 2343","Memorial Union","Open","theft",-93.6459454,42.0236502
"17-000300","03/07/17 0950",NA,"03/07/17 0950","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000302","03/07/17 2042","03/07/17 2042","03/07/17 2042","Friley Hall","Open","drug violation",-93.65045,42.0239234
"17-000303","03/08/17 1325",NA,"03/08/17 1325","Food Sciences Building","Open","theft",-93.6425228,42.0268836
"17-000304","03/08/17 1415",NA,"03/08/17 1415","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000305","03/08/17 1529","03/08/17 1529","03/08/17 1529","Gerdin Business Building","Open","assault",-93.6444688,42.0254011
"17-000307","03/08/17 1700",NA,"03/08/17 1700","Larch Hall","Open","vandalism",-93.6382868,42.0232779
"17-000309","03/09/17 0213","03/09/17 0213","03/09/17 0213","Parks Library","Arrest","public intoxication",-93.6488141,42.0281254
"17-000310","03/09/17 1430","03/09/17 1430","03/09/17 1430","119 Stanton Avenue","Open","assault",-93.6489377,42.0219747
"17-000310","03/09/17 1430","03/09/17 1430","03/30/17 1357","311 Ash Avenue","Arrest","assault",-93.64478,42.0198268
"17-000310","03/09/17 1430","03/09/17 1430","03/30/17 1357","311 Ash Avenue","Arrest","trespass",-93.64478,42.0198268
"17-000312","03/10/17 0114",NA,"03/10/17 0114","Memorial Union","Open","theft",-93.6459454,42.0236502
"17-000314","03/10/17 1049",NA,"03/10/17 1049","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000315","03/10/17 1101","03/10/17 1101","03/10/17 1101","Lot 28","Arrest","driving violation",-93.6495783,42.0319068
"17-000317","03/10/17 1745","03/10/17 1745","03/10/17 1745","Maple Hall","Arrest","drug violation",-93.6387491,42.023654
"17-000318","03/11/17 0129","03/11/17 0129","03/11/17 0129","Knapp Street and Welch Avenue","Arrest","operating while intoxicated",-93.6500882,42.0191138
"17-000319","03/11/17 0209","03/11/17 0209","03/11/17 0209","1307 Coconino Road","Open","drug violation",-93.677523,42.011662
"17-000320","03/11/17 1833",NA,"03/11/17 1833","Student Services Building","Open","harassment",-93.6501447,42.0253226
"17-000321","03/12/17 0117","03/12/17 0117","03/12/17 0117","Hyland Avenue and Lincoln Way","Arrest","driving violation",-93.6555907,42.0227264
"17-000322","03/12/17 1714",NA,"03/12/17 1714","Memorial Union","Open","theft",-93.6459454,42.0236502
