"General.Location","n","longitude","latitude"
"Hansen Ag Student Learning Center",4,-93.6502665,42.0110798
"Hickory Drive and Lincoln Way",4,-93.6732329,42.0229789
"Lincoln Way and North Riverside Drive",4,-93.6298275,42.0228363
"Lincoln Way and South Russell Avenue",4,-93.6283456,42.0228388
"Lot 114",4,-93.642107,42.0361627
"Lot 15",4,NA,NA
"Lot 2",4,-93.6536866,42.0260878
"Lot 26",4,-93.6479903,42.0298873
"Lot 52",4,NA,NA
"Lot 59B",4,-93.652149,42.025067
"Lot 60",4,-93.6530339,42.0209006
"Lot 7",4,-93.6546792,42.0257352
"Lot 83",4,-93.6411713,42.0330701
"Lot 85W",4,-93.6365824,42.0157193
"Lot 91",4,NA,NA
"Lot C3",4,-93.6347895,42.0192833
"Lot D4",4,-93.6331915,42.016812
"Lot G8",4,-93.6286452,42.0096516
"Memorial Union Bookstore",4,-93.6453763,42.0231853
"North Dakota Avenue and Ontario Street",4,-93.6787439,42.034582
"North Dakota Avenue and Westbend Drive",4,-93.6787552,42.0251552
"SE Intramural Fields",4,-93.6306464,42.0122747
"South 16th Street and Christensen Drive",4,-93.6320587,42.0097006
"South 4th Street and South Riverside Drive",4,-93.6310995,42.0065637
"Stange Road and Aspen Road",4,-93.6449407,42.0503654
"Stange Road and Wanda Daley Drive",4,-93.64473,42.0338708
"Storm Street and Welch Road",4,-93.6500563,42.0161339
"Student Innovation Center",4,-93.6517015,42.0269398
"Town Engineering Building",4,-93.65265,42.0295468
"Transportation Services",4,-93.6390719,42.0307934
"Veenker Golf Course",4,-93.6503018,42.0413042
"Wallace-Wilson Commons",4,-93.6504798,42.0140126
"West Street and Wilmoth Avenue",4,-93.6616358,42.0249486
"100 block of Beedle Drive",3,-93.6732302,42.0228128
"100 block of Lynn Avenue",3,-93.6464172,42.0226486
"100 block of South Sheldon Avenue",3,-93.6542392,42.0227216
"1022 Welch Avenue",3,-93.6493525,42.0127899
"12 Schilletter Village",3,-93.6423388,42.0433619
"1200 block of Walton Drive",3,-93.6713661,42.0112363
"1220 Walton Drive",3,-93.6694178,42.0116982
"1344 Walton Drive",3,-93.6698502,42.009717
"1406 Mayfield Drive",3,-93.6719499,42.0095341
"142 University Village",3,-93.6416346,42.0407643
"1900 block of Lincoln Way",3,-93.6332603,42.0227673
"1900 block South 4th Street",3,-93.6379967,42.0154325
"200 block of Beyer Court",3,-93.6509169,42.0249164
"200 University Village",3,-93.6441672,42.0427435
"2100 block of Union Drive",3,-93.6496968,42.024591
"219 Main Street",3,-93.6129769,42.0253432
"2200 block of Knapp Street",3,-93.6443742,42.0191422
"2200 Block of Lincoln Way",3,-93.644527,42.0226921
"2200 block of Union Drive",3,-93.6496968,42.024591
"2300 block of Lincoln Way",3,-93.6466806,42.0224713
"2500 block of Osborn Drive",3,-93.6509615,42.0288842
"2500 Block of Union Drive",3,-93.6517676,42.0253623
"2500 block of University Boulevard",3,-93.6384451,42.0002402
"2508 Mortensen Rd",3,-93.6502665,42.0110798
"2715 Bobcat Drive",3,-93.6526505,41.9965463
"2800 block of Wood Street",3,-93.6556273,42.0221434
